speaker,minute,text
Susan Page,00:00,"Good evening. From the University of Utah in Salt Lake City, welcome to the first and only vice presidential debate of 2020 sponsored by the nonpartisan commission on presidential debates. I’m Susan Page of USA Today. It is my honor to moderate this debate, an important part of our democracy. In Kingsbury Hall tonight, we have a small and socially distant audience and we’ve taken extra precautions during this pandemic. Among other things, everyone in this audience is required to wear a face mask and the candidates will be seated 12 feet apart. The audience is enthusiastic about their candidates, but they’ve agreed to express that enthusiasm only twice—at the end of the debate and now, when I introduce the candidates. California Senator Kamala Harris and Vice President Mike Pence. Senator Harris and Vice President Pence, thank you for being here. We’re meeting as President Trump and the First Lady continue to undergo treatment in Washington, after testing positive for COVID-19. We send our thoughts and prayers to them for their rapid and complete recovery, and for the recovery of everyone afflicted by the coronavirus. The two campaigns and the commission on presidential debates agreed to the ground rules for tonight. I’m here to enforce them.On behalf of the millions of Americans who are watching. One note: no one in either campaign or at the commission or anywhere else has been told in advance what topics I’ll raise or what questions I’ll ask. This 90 minute debate will be divided into nine segments of about 10 minutes each. I’ll begin a segment by posing a question to each of you. Sometimes the same question, sometimes a different question on the same topic. You will then have two minutes to answer without interruption by me or the other candidate. Then we’ll take six minutes or so to discuss the issue. At that point, although there will always be more to say, we’ll move on to the next topic. We want a debate that is lively, but Americans also deserve a discussion that is civil."
Susan Page,01:21,"These are tumultuous times, but we can and will have a respectful exchange about the big issues facing our nation. Let’s begin with the ongoing pandemic that has cost our country so much. Senator Harris, the coronavirus is not under control. Over the past week, Johns Hopkins reports that 39 states have had more COVID cases over the past seven days than in the week before. Nine States have set new records. Even if a vaccine is released soon, the next administration will face hard choices. What would a Biden administration do in January and February that a Trump administration wouldn’t do? Would you impose new lockdowns for businesses and schools and hotspots, a federal mandate to wear masks? You have two minutes to respond without interruption."
Kamala Harris,02:13,"Thank you, Susan. Well, the American people have witnessed what is the greatest failure of any presidential administration in the history of our country. And here are the facts. 210,000 dead people in our country in just the last several months. Over 7 million people who have contracted this disease. One in five businesses closed. We’re looking at frontline workers who have been treated like sacrificial workers. We are looking at over 30 million people, who in the last several months, had to file for unemployment. And here’s the thing, on January 28th, the vice president and the president were informed about the nature of this pandemic. They were informed that it’s lethal in consequence, that it is airborne, that it will affect young people, and that it would be contracted because it is airborne. And they knew what was happening, and they didn’t tell you."
Kamala Harris,03:21,"Can you imagine if you knew on January 28th, as opposed to March 13th, what they knew, what you might’ve done to prepare? They knew, and they covered it up. The president said it was a hoax. They minimized the seriousness of it. The president said, “You’re on one side of his ledger if you wear a mask. You’re on the other side of his ledger if you don’t.” And in spite of all of that, today, they still don’t have a plan. They still don’t have a plan. Well, Joe Biden does. And our plan is about what we need to do around a national strategy for contact tracing, for testing, for administration of the vaccine, and making sure that it will be free for all. That is the plan that Joe Biden has and that I have, knowing that we have to get a hold of what has been going on, and we need to save our country. And Joe Biden is the best leader to do that. And frankly, this administration has forfeited their-"
Susan Page,04:17,"Thank you, Senator Harris-"
Kamala Harris,04:18,… right to reelection based on this.
Susan Page,04:20,"Thank you, Senator Harris. Vice President Pence, more than 210,000 Americans have died of COVID-19 since February. The US death toll, as a percentage of our population, is higher than that of almost every other wealthy nation on Earth. For instance, our death rate is two and a half times that of Canada, next door. You had the administration’s coronavirus task force. Why is the US death toll, as a percentage of our population, higher than that of almost every other wealthy country? And you have two minutes to respond without interruption."
Mike Pence,04:55,"Susan, thank you. And I want to thank the Commission and the University of Utah for hosting this event. And Senator Harris, it’s a privilege to be on the stage with you. And our nation has gone through a very challenging time this year. But I want the American people to know that from the very first day, President Donald Trump has put the health of America first. Before there were more than five cases in the United States, all people who had returned from China, President Donald Trump did what no other American president had ever done. And that was, he suspended all travel from China, the second largest economy in the world. Now, Senator Joe Biden opposed that decision. He said it was xenophobic and hysterical. But I can tell you having led the white house coronavirus task force that that decision alone by President Trump bought us invaluable time to stand up the greatest national mobilization since World War Two."
Mike Pence,05:57,"And I believe it saved hundreds of thousands of American lives. Because with that time, we were able to reinvent testing. More than 115 million tests had been done to date. We were able to see to the delivery of billions of supplies, so our doctors and nurses had the resources support they needed. And we began, really, before the month of February we started to develop a vaccine and to develop medicines and therapeutics that have been saving lives all along the way. And under President Trump’s leadership, Operation Warp Speed, we believe we’ll have literally tens of millions of doses of a vaccine before the end of this year. The reality is, when you look at the Biden plan, it reads an awful lot like what President Trump, and I, and our task force has been doing every step of the way. And quite frankly, when I look at their plan that talks about advancing testing, creating new PPE, developing a vaccine, it looks a little bit like plagiarism, which is something Joe Biden knows a little bit about. And I think the American people know that this is a president who has put the health-"
Susan Page,06:59,"Thank you, Vice President Pence-"
Mike Pence,06:59,"… of America first. And the American people, I believe with my heart, can be proud-"
Susan Page,07:03,"Thank you, Vice President Pence-"
Mike Pence,07:04,… of the sacrifices they have made. It’s saved countless American lives-
Susan Page,07:07,"Thank you, Vice President Pence. Senator Harris, would you like to respond?"
Kamala Harris,07:10,"Absolutely. Whatever the vice president is claiming the administration has done, clearly, it hasn’t worked. When you’re looking at over 210,000 dead bodies in our country, American lives that have been lost, families that are grieving that loss, and the vice president is the head of the task force and knew on January 28th, how serious this was. And then, thanks to Bob Woodward, we learned that they knew about it. And then when that was exposed, the vice president said, when asked, “Well, why didn’t you all tell anybody?” He said, “Because the president wanted people to remain calm.”"
Susan Page,07:52,"Well, let’s [crosstalk 00:07:53]-"
Kamala Harris,07:53,"No. But Susan, this is important. And I want to add-"
Mike Pence,07:55,"Susan, I have to weigh in here-"
Kamala Harris,07:56,"Mr. Vice President, I’m speaking."
Mike Pence,07:57,I have to weigh in.
Kamala Harris,07:58,I’m speaking.
Susan Page,07:59,"You can have 15 more seconds, and then we’ll give the vice-president a chance to respond-"
