id,text,speaker,speaker_id,audio_file,context,debate
n000000,"Gentlemen, a lot of people been waiting for this night, so let’s get going.",Chris Wallace,0,a000000,Supreme Court,0
n000001,Our first subject is the Supreme Court.,Chris Wallace,0,a000001,Supreme Court,0
n000002,"President Trump, you nominated Amy Coney Barrett over the weekend to succeed the late Ruth Bader Ginsburg on the Court.",Chris Wallace,0,a000002,Supreme Court,0
n000003,You say the Constitution is clear about your obligation and the Senate’s to consider a nominee to the Court.,Chris Wallace,0,a000003,Supreme Court,0
n000004,"Vice President Biden, you say that this is an effort by the President and Republicans to jam through on an appointment in what you call an abuse of power.",Chris Wallace,0,a000004,Supreme Court,0
n000005,"My first question to both of you tonight, why are you right in the argument you make and your opponent wrong?",Chris Wallace,0,a000005,Supreme Court,0
n000006,And where do you think a Justice Barrett would take the court?,Chris Wallace,0,a000006,Supreme Court,0
n000007,"President Trump, in this first segment, you go first.",Chris Wallace,0,a000007,Supreme Court,0
n000008,Two minutes.,Chris Wallace,0,a000008,Supreme Court,0
n000009,"Thank you very much, Chris.",Donald Trump,2,a000009,Supreme Court,0
n000010,I will tell you very simply.,Donald Trump,2,a000010,Supreme Court,0
n000011,We won the election.,Donald Trump,2,a000011,Supreme Court,0
n000012,Elections have consequences.,Donald Trump,2,a000012,Supreme Court,0
n000013,"We have the Senate, we have the White House, and we have a phenomenal nominee respected by all.",Donald Trump,2,a000013,Supreme Court,0
n000014,"Top, top academic, good in every way.",Donald Trump,2,a000014,Supreme Court,0
n000015,Good in every way.,Donald Trump,2,a000015,Supreme Court,0
n000016,"In fact, some of her biggest endorsers are very liberal people from Notre Dame and other places.",Donald Trump,2,a000016,Supreme Court,0
n000017,So I think she’s going to be fantastic.,Donald Trump,2,a000017,Supreme Court,0
n000018,We have plenty of time.,Donald Trump,2,a000018,Supreme Court,0
n000019,Even if we did it after the election itself.,Donald Trump,2,a000019,Supreme Court,0
n000020,"I have a lot of time after the election, as you know.",Donald Trump,2,a000020,Supreme Court,0
n000021,So I think that she will be outstanding.,Donald Trump,2,a000021,Supreme Court,0
n000022,She’s going to be as good as anybody that has served on that court.,Donald Trump,2,a000022,Supreme Court,0
n000023,We really feel that.,Donald Trump,2,a000023,Supreme Court,0
n000024,"We have a professor at Notre Dame, highly respected by all, said she’s the single greatest student he’s ever had.",Donald Trump,2,a000024,Supreme Court,0
n000025,He’s been a professor for a long time at a great school.,Donald Trump,2,a000025,Supreme Court,0
n000026,"And we won the election and therefore we have the right to choose her, and very few people knowingly would say otherwise.",Donald Trump,2,a000026,Supreme Court,0
n000027,"And by the way, the Democrats, they wouldn’t even think about not doing it.",Donald Trump,2,a000027,Supreme Court,0
n000028,The only difference is they’d try and do it faster.,Donald Trump,2,a000028,Supreme Court,0
n000029,There’s no way they would give it up.,Donald Trump,2,a000029,Supreme Court,0
n000030,"They had Merrick Garland, but the problem is they didn’t have the election so they were stopped.",Donald Trump,2,a000030,Supreme Court,0
n000031,"And probably that would happen in reverse, also.",Donald Trump,2,a000031,Supreme Court,0
n000032,Definitely would happen in reverse.,Donald Trump,2,a000032,Supreme Court,0
n000033,"So we won the election and we have the right to do it, Chris.",Donald Trump,2,a000033,Supreme Court,0
n000034,"President Trump, thank you.",Chris Wallace,0,a000034,Supreme Court,0
n000035,"Same question to you, Vice President Biden.",Chris Wallace,0,a000035,Supreme Court,0
n000036,You have two minutes.,Chris Wallace,0,a000036,Supreme Court,0
n000037,"Well, first of all, thank you for doing this and looking forward to this, Mr. President.",Joe Biden,1,a000037,Supreme Court,0
n000038,"Thank you, Joe.",Donald Trump,2,a000038,Supreme Court,0
n000039,The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States.,Joe Biden,1,a000039,Supreme Court,0
n000040,They’re not going to get that chance now because we’re in the middle of an election already.,Joe Biden,1,a000040,Supreme Court,0
n000041,The election has already started.,Joe Biden,1,a000041,Supreme Court,0
n000042,Tens of thousands of people already voted and so the thing that should happen is we should wait.,Joe Biden,1,a000042,Supreme Court,0
n000043,We should wait and see what the outcome of this election is because that’s the only way the American people get to express their view is by who they elect as President and who they elect as Vice President.,Joe Biden,1,a000043,Supreme Court,0
n000044,"Now, what’s at stake here is the President’s made it clear, he wants to get rid of the Affordable Care Act.",Joe Biden,1,a000044,Supreme Court,0
n000045,"He’s been running on that, he ran on that and he’s been governing on that.",Joe Biden,1,a000045,Supreme Court,0
n000046,"He’s in the Supreme Court right now trying to get rid of the Affordable Care Act, which will strip 20 million people from having health insurance now, if it goes into court.",Joe Biden,1,a000046,Supreme Court,0
n000047,"And the justice, I’m not opposed to the justice, she seems like a very fine person.",Joe Biden,1,a000047,Supreme Court,0
n000048,"But she’s written, before she went in the bench, which is her right, that she thinks that the Affordable Care Act is not Constitutional.",Joe Biden,1,a000048,Supreme Court,0
n000049,"The other thing that’s on the court, and if it’s struck down, what happens?",Joe Biden,1,a000049,Supreme Court,0
n000050,Women’s rights are fundamentally changed.,Joe Biden,1,a000050,Supreme Court,0
n000051,"Once again, a woman could pay more money because she has a pre-existing condition of pregnancy.",Joe Biden,1,a000051,Supreme Court,0
n000052,They’re able to charge women more for the same exact procedure a man gets.,Joe Biden,1,a000052,Supreme Court,0
n000053,"And that ended when we, in fact, passed the Affordable Care Act, and there’s a hundred million people who have pre-existing conditions and they’ll be taken away as well.",Joe Biden,1,a000053,Supreme Court,0
n000054,"Those pre-existing conditions, insurance companies are going to love this.",Joe Biden,1,a000054,Supreme Court,0
n000055,And so it’s just not appropriate to do this before this election.,Joe Biden,1,a000055,Supreme Court,0
n000056,"If he wins the election and the Senate is Republican, then he goes forward.",Joe Biden,1,a000056,Supreme Court,0
n000057,"If not, we should wait until February.",Joe Biden,1,a000057,Supreme Court,0
n000058,There aren’t a hundred million people with pre-existing conditions.,Donald Trump,2,a000058,Supreme Court,0
n000059,"As far as a say is concerned, the people already had their say.",Donald Trump,2,a000059,Supreme Court,0
n000060,"Okay, Justice Ginsburg said very powerfully, very strongly, at some point 10 years ago or so, she said a President and the Senate is elected for a period of time, but a President is elected for four years.",Donald Trump,2,a000060,Supreme Court,0
n000061,We’re not elected for three years.,Donald Trump,2,a000061,Supreme Court,0
n000062,I’m not elected for three years.,Donald Trump,2,a000062,Supreme Court,0
n000063,"So we have the Senate, we have a President-",Donald Trump,2,a000063,Supreme Court,0
n000064,He’s elected to the next election.,Joe Biden,1,a000064,Supreme Court,0
n000065,"During that period of time, during that period of time, we have an opening.",Donald Trump,2,a000065,Supreme Court,0
n000066,I’m not elected for three years.,Donald Trump,2,a000066,Supreme Court,0
n000067,I’m elected for four years.,Donald Trump,2,a000067,Supreme Court,0
n000068,"Joe, the hundred million people is totally wrong.",Donald Trump,2,a000068,Supreme Court,0
n000069,I don’t know where you got that number.,Donald Trump,2,a000069,Supreme Court,0
n000070,"The bigger problem that you have is that you’re going to extinguish 180 million people with their private health care, that they’re very happy this.",Donald Trump,2,a000070,Supreme Court,0
n000071,That’s simply not true.,Joe Biden,1,a000071,Supreme Court,0
n000072,"Well, you’re certainly going to socialist.",Donald Trump,2,a000072,Supreme Court,0
n000073,You’re going to socialist-,Donald Trump,2,a000073,Supreme Court,0
n000074,"Gentlemen, we’re now into open discussion.",Chris Wallace,0,a000074,Supreme Court,0
n000075,Open discussion.,Joe Biden,1,a000075,Supreme Court,0
n000076,"Open discussion, yes, I agree.",Chris Wallace,0,a000076,Supreme Court,0
n000077,"Go ahead, Vice President.",Chris Wallace,0,a000077,Supreme Court,0
n000078,"Number one, he knows what I proposed.",Joe Biden,1,a000078,Supreme Court,0
n000079,What I proposed is that we expand Obamacare and we increase it.,Joe Biden,1,a000079,Supreme Court,0
n000080,We do not wipe any.,Joe Biden,1,a000080,Supreme Court,0
n000081,"And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still.",Joe Biden,1,a000081,Supreme Court,0
n000082,They can.,Joe Biden,1,a000082,Supreme Court,0
n000083,They do.,Joe Biden,1,a000083,Supreme Court,0
n000084,They will under my proposal.,Joe Biden,1,a000084,Supreme Court,0
n000085,That’s not what you’ve said and it’s not what your party is saying.,Donald Trump,2,a000085,Supreme Court,0
n000086,That is simply a lie.,Joe Biden,1,a000086,Supreme Court,0
n000087,Your party doesn’t say it.,Donald Trump,2,a000087,Supreme Court,0
n000088,Your party wants to go socialist medicine and socialist healthcare.,Donald Trump,2,a000088,Supreme Court,0
n000089,The party is me.,Joe Biden,1,a000089,Supreme Court,0
n000090,"Right now, I am the Democratic Party.",Joe Biden,1,a000090,Supreme Court,0
n000091,"And they’re going to dominate you, Joe.",Donald Trump,2,a000091,Supreme Court,0
n000092,You know that.,Donald Trump,2,a000092,Supreme Court,0
n000093,I am the Democratic Party right now.,Joe Biden,1,a000093,Supreme Court,0
n000094,Not according to Harris.,Donald Trump,2,a000094,Supreme Court,0
n000095,"The platform of the Democratic Party is what I, in fact, approved of, what I approved of.",Joe Biden,1,a000095,Supreme Court,0
n000096,"Now, here’s the deal.",Joe Biden,1,a000096,Supreme Court,0
n000097,The deal is that it’s going to wipe out pre-existing conditions.,Joe Biden,1,a000097,Supreme Court,0
n000098,"And, by the way, the 200,000 people that have died on his watch, how many of those have survived?",Joe Biden,1,a000098,Supreme Court,0
n000099,"Well, there’s seven million people that contracted COVID.",Joe Biden,1,a000099,Supreme Court,0
n000100,What does it mean for them going forward if you strike down the Affordable Care Act?,Joe Biden,1,a000100,Supreme Court,0
n000101,"Joe, you’ve had 308,000 military people dying because you couldn’t provide them proper healthcare in the military.",Donald Trump,2,a000101,Supreme Court,0
n000102,So don’t tell me about this.,Donald Trump,2,a000102,Supreme Court,0
n000103,I’m happy to talk about this.,Joe Biden,1,a000103,Supreme Court,0
n000104,"And if you were here, it wouldn’t be 200, it would be two million people because you were very late on the draw.",Donald Trump,2,a000104,Supreme Court,0
n000105,"You didn’t want me to ban China, which was heavily infected.",Donald Trump,2,a000105,Supreme Court,0
n000106,You didn’t want me to ban Europe.,Donald Trump,2,a000106,Supreme Court,0
n000107,"All right, gentlemen, Mr. President.",Chris Wallace,0,a000107,Supreme Court,0
n000108,"You would have been much later, Joe, much later.",Donald Trump,2,a000108,Supreme Court,0
n000109,Mr. President.,Chris Wallace,0,a000109,Supreme Court,0
n000110,We’re talking about two million people.,Donald Trump,2,a000110,Supreme Court,0
n000111,You’re not going to be able to shut him up.,Joe Biden,1,a000111,Supreme Court,0
n000112,"Mr. President, as the moderator, we are going to talk about COVID in the next segment.",Chris Wallace,0,a000112,Supreme Court,0
n000113,But go ahead.,Chris Wallace,0,a000113,Supreme Court,0
n000114,Let me finish.,Joe Biden,1,a000114,Supreme Court,0
n000115,The point is that the President also is opposed to Roe V. Wade.,Joe Biden,1,a000115,Supreme Court,0
n000116,"That’s on the ballot as well and the court, in the court, and so that’s also at stake right now.",Joe Biden,1,a000116,Supreme Court,0
n000117,And so the election is all-,Joe Biden,1,a000117,Supreme Court,0
n000118,You don’t know what’s on the ballot.,Donald Trump,2,a000118,Supreme Court,0
n000119,Why is it on the ballot?,Donald Trump,2,a000119,Supreme Court,0
n000120,Why is it on the ballot?,Donald Trump,2,a000120,Supreme Court,0
n000121,It’s not on the ballot.,Donald Trump,2,a000121,Supreme Court,0
n000122,It’s on the ballot in the court.,Joe Biden,1,a000122,Supreme Court,0
n000123,I don’t think so.,Donald Trump,2,a000123,Supreme Court,0
n000124,In the court.,Joe Biden,1,a000124,Supreme Court,0
n000125,There’s nothing happening there.,Donald Trump,2,a000125,Supreme Court,0
n000126,Donald would you just be quiet for a minute.,Joe Biden,1,a000126,Supreme Court,0
n000127,You don’t know her view on Roe V. Wade?,Donald Trump,2,a000127,Supreme Court,0
n000128,You don’t know here view.,Donald Trump,2,a000128,Supreme Court,0
n000129,"Well, all right.",Chris Wallace,0,a000129,Supreme Court,0
n000130,All right.,Chris Wallace,0,a000130,Supreme Court,0
n000131,Let’s talk.,Chris Wallace,0,a000131,Supreme Court,0
n000132,"We’ve got a lot to unpack here, gentlemen.",Chris Wallace,0,a000132,Supreme Court,0
n000133,We’ve got a lot of time.,Chris Wallace,0,a000133,Supreme Court,0
n000134,"On healthcare, and then we’ll come back to Roe V. Wade.",Chris Wallace,0,a000134,Supreme Court,0
n000135,All right.,Chris Wallace,0,a000135,Supreme Court,0
n000136,"Mr. President, the Supreme Court will hear a case a week after the election in which the Trump Administration, along with 18 state Attorney Generals are seeking to overturn Obamacare, to end Obamacare.",Chris Wallace,0,a000136,Healthcare,0
n000137,That’s right.,Donald Trump,2,a000137,Healthcare,0
n000138,You have spent the last week-,Chris Wallace,0,a000138,Healthcare,0
n000139,Because they want to give good healthcare.,Donald Trump,2,a000139,Healthcare,0
n000140,"If I may ask my question, sir.",Chris Wallace,0,a000140,Healthcare,0
n000141,Good healthcare.,Joe Biden,1,a000141,Healthcare,0
n000142,"Over the last four years, you have promised to repeal and replace Obamacare, but you have never in these four years come up with a plan, a comprehensive plan, to replace Obamacare.",Chris Wallace,0,a000142,Healthcare,0
n000143,"Yes, I have.",Donald Trump,2,a000143,Healthcare,0
n000144,"Of course, I have.",Donald Trump,2,a000144,Healthcare,0
n000145,The individual mandate.,Donald Trump,2,a000145,Healthcare,0
n000146,[crosstalk 00:11:26] when I finish I’m going to give an opportunity-,Chris Wallace,0,a000146,Healthcare,0
n000147,Excuse me.,Donald Trump,2,a000147,Healthcare,0
n000148,"I got rid of the individual mandate, which was a big chunk of Obamacare.",Donald Trump,2,a000148,Healthcare,0
n000149,That’s not a comprehensive place.,Chris Wallace,0,a000149,Healthcare,0
n000150,That is absolutely a big thing.,Donald Trump,2,a000150,Healthcare,0
