speaker,text,minute_start,minute_end
Chris Wallace,Good evening from the Health Education Campus of Case Western Reserve University and the Cleveland Clinic.,,
Chris Wallace,I’m Chris Wallace of Fox News and I welcome you to the first of the 2020 Presidential Debates between President Donald J. Trump and former Vice President Joe Biden.,,
Chris Wallace,This debate is sponsored by the Commission on Presidential debates.,,
Chris Wallace,"The Commission has designed the format, six roughly 15 minute segments with two minute answers from each candidate to the first question, then open discussion for the rest of each segment.",,
Chris Wallace,Both campaigns have agreed to these rules.,,
Chris Wallace,"For the record, I decided the topics and the questions in each topic.",,
Chris Wallace,I can assure you none of the questions has been shared with the Commission or the two candidates.,,
Chris Wallace,"This debate is being conducted under health and safety protocols designed by the Cleveland Clinic, which is serving as the Health Security advisor to the Commission for all four debates.",,
Chris Wallace,"As a precaution, both campaigns have agreed the candidates will not shake hands at the beginning of tonight’s debate.",,
Chris Wallace,The audience here in the hall has promised to remain silent.,,
Chris Wallace,"No cheers, no boos, or other interruptions so we, and more importantly you, can focus on what the candidates have to say.",,
Chris Wallace,"No noise except right now, as we welcome the Republican nominee, President Trump, and the Democratic nominee Vice President Biden.",,
Joe Biden,"How you doing, man?",,
Donald Trump,How are you doing?,,
Joe Biden,I’m well.,,
Chris Wallace,"Gentlemen, a lot of people been waiting for this night, so let’s get going.",,
Chris Wallace,Our first subject is the Supreme Court.,,
Chris Wallace,"President Trump, you nominated Amy Coney Barrett over the weekend to succeed the late Ruth Bader Ginsburg on the Court.",,
Chris Wallace,You say the Constitution is clear about your obligation and the Senate’s to consider a nominee to the Court.,,
Chris Wallace,"Vice President Biden, you say that this is an effort by the President and Republicans to jam through on an appointment in what you call an abuse of power.",,
Chris Wallace,"My first question to both of you tonight, why are you right in the argument you make and your opponent wrong?",,
Chris Wallace,And where do you think a Justice Barrett would take the court?,,
Chris Wallace,"President Trump, in this first segment, you go first.",,
Chris Wallace,Two minutes.,,
Donald Trump,"Thank you very much, Chris.",,
Donald Trump,I will tell you very simply.,,
Donald Trump,We won the election.,,
Donald Trump,Elections have consequences.,,
Donald Trump,"We have the Senate, we have the White House, and we have a phenomenal nominee respected by all.",,
Donald Trump,"Top, top academic, good in every way.",,
Donald Trump,Good in every way.,,
Donald Trump,"In fact, some of her biggest endorsers are very liberal people from Notre Dame and other places.",,
Donald Trump,So I think she’s going to be fantastic.,,
Donald Trump,We have plenty of time.,,
Donald Trump,Even if we did it after the election itself.,,
Donald Trump,"I have a lot of time after the election, as you know.",,
Donald Trump,So I think that she will be outstanding.,,
Donald Trump,She’s going to be as good as anybody that has served on that court.,,
Donald Trump,We really feel that.,,
Donald Trump,"We have a professor at Notre Dame, highly respected by all, said she’s the single greatest student he’s ever had.",,
Donald Trump,He’s been a professor for a long time at a great school.,,
Donald Trump,"And we won the election and therefore we have the right to choose her, and very few people knowingly would say otherwise.",,
Donald Trump,"And by the way, the Democrats, they wouldn’t even think about not doing it.",,
Donald Trump,The only difference is they’d try and do it faster.,,
Donald Trump,There’s no way they would give it up.,,
Donald Trump,"They had Merrick Garland, but the problem is they didn’t have the election so they were stopped.",,
Donald Trump,"And probably that would happen in reverse, also.",,
Donald Trump,Definitely would happen in reverse.,,
Donald Trump,"So we won the election and we have the right to do it, Chris.",,
Chris Wallace,"President Trump, thank you.",,
Chris Wallace,"Same question to you, Vice President Biden.",,
Chris Wallace,You have two minutes.,,
Joe Biden,"Well, first of all, thank you for doing this and looking forward to this, Mr. President.",,
Donald Trump,"Thank you, Joe.",,
Joe Biden,The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States.,,
Joe Biden,They’re not going to get that chance now because we’re in the middle of an election already.,,
Joe Biden,The election has already started.,,
Joe Biden,Tens of thousands of people already voted and so the thing that should happen is we should wait.,,
Joe Biden,We should wait and see what the outcome of this election is because that’s the only way the American people get to express their view is by who they elect as President and who they elect as Vice President.,,
Joe Biden,"Now, what’s at stake here is the President’s made it clear, he wants to get rid of the Affordable Care Act.",,
Joe Biden,"He’s been running on that, he ran on that and he’s been governing on that.",,
Joe Biden,"He’s in the Supreme Court right now trying to get rid of the Affordable Care Act, which will strip 20 million people from having health insurance now, if it goes into court.",,
Joe Biden,"And the justice, I’m not opposed to the justice, she seems like a very fine person.",,
Joe Biden,"But she’s written, before she went in the bench, which is her right, that she thinks that the Affordable Care Act is not Constitutional.",,
Joe Biden,"The other thing that’s on the court, and if it’s struck down, what happens?",,
Joe Biden,Women’s rights are fundamentally changed.,,
Joe Biden,"Once again, a woman could pay more money because she has a pre-existing condition of pregnancy.",,
Joe Biden,They’re able to charge women more for the same exact procedure a man gets.,,
Joe Biden,"And that ended when we, in fact, passed the Affordable Care Act, and there’s a hundred million people who have pre-existing conditions and they’ll be taken away as well.",,
Joe Biden,"Those pre-existing conditions, insurance companies are going to love this.",,
Joe Biden,And so it’s just not appropriate to do this before this election.,,
Joe Biden,"If he wins the election and the Senate is Republican, then he goes forward.",,
Joe Biden,"If not, we should wait until February.",,
Donald Trump,There aren’t a hundred million people with pre-existing conditions.,,
Donald Trump,"As far as a say is concerned, the people already had their say.",,
Donald Trump,"Okay, Justice Ginsburg said very powerfully, very strongly, at some point 10 years ago or so, she said a President and the Senate is elected for a period of time, but a President is elected for four years.",,
Donald Trump,We’re not elected for three years.,,
Donald Trump,I’m not elected for three years.,,
Donald Trump,"So we have the Senate, we have a President-",,
Joe Biden,He’s elected to the next election.,,
Donald Trump,"During that period of time, during that period of time, we have an opening.",,
Donald Trump,I’m not elected for three years.,,
Donald Trump,I’m elected for four years.,,
Donald Trump,"Joe, the hundred million people is totally wrong.",,
Donald Trump,I don’t know where you got that number.,,
Donald Trump,"The bigger problem that you have is that you’re going to extinguish 180 million people with their private health care, that they’re very happy this.",,
Joe Biden,That’s simply not true.,,
