speaker,text,minute_start,minute_end
Kristen Welker,"Good evening, everyone.",,
Kristen Welker,Good evening.,,
Kristen Welker,Thank you so much for being here.,,
Kristen Welker,"It is such an honor for me to moderate this debate tonight, the final debate.",,
Kristen Welker,I want to welcome the first family and the first lady.,,
Kristen Welker,We’re so glad and thankful that you are feeling better.,,
Kristen Welker,"I want to welcome the Biden family, Dr. Jill Biden.",,
Kristen Welker,Thank you all for being here tonight.,,
Kristen Welker,We are so excited.,,
Kristen Welker,We’re looking forward to a really robust discussion.,,
Kristen Welker,"And the only thing I would reiterate are the CPD guidelines that when the candidates are talking, please hold any applause or any other reactions.",,
Kristen Welker,"Except of course, when they walk out, make sure you cheer and loud and applause so that everyone can hear you.",,
Kristen Welker,Thank you for having me.,,
Kristen Welker,This is really the honor of a lifetime.,,
Kristen Welker,I am going to sit down and just get organized and get settled and the show will start very soon.,,
Kristen Welker,Thank you for being here.,,
Kristen Welker,(silence).,,
Kristen Welker,"Good evening from Belmont University in Nashville, Tennessee.",,
Kristen Welker,I’m Kristen Welker of NBC News.,,
Kristen Welker,And I welcome you to the final 2020 presidential debate between President Donald J. Trump and former vice president Joe Biden.,,
Kristen Welker,Tonight’s debate is sponsored by the Commission on Presidential Debates.,,
Kristen Welker,It is conducted under health and safety protocols designed by the Commission’s health security advisor.,,
Kristen Welker,The audience here in the hall has promised to remain silent.,,
Kristen Welker,"No cheers, boos, or other interruptions, except right now, as we welcome to the stage, former vice president Joe Biden and President Donald J. Trump.",,
Donald Trump,How are you doing?,,
Donald Trump,How are you?,,
Kristen Welker,And I do want to say a very good evening to both of you.,,
Kristen Welker,This debate will cover six major topics.,,
Kristen Welker,"At the beginning of each section, each candidate will have two minutes, uninterrupted, to answer my first question.",,
Kristen Welker,The Debate Commission will then turn on their microphone only when it is their turn to answer.,,
Kristen Welker,And the Commission will turn it off exactly when the two minutes have expired.,,
Kristen Welker,"After that, both microphones will remain on.",,
Kristen Welker,"But on behalf of the voters, I’m going to ask you to please speak one at a time.",,
Kristen Welker,The goal is for you to hear each other and for the American people to hear every word of what you both have to say.,,
Kristen Welker,"And so with that, if you’re ready, let’s start.",,
Kristen Welker,And we will begin with the fight against the coronavirus.,,
Kristen Welker,"President Trump, the first question is for you.",,
Kristen Welker,The country is heading into a dangerous new phase.,,
Kristen Welker,"More than 40,000 Americans are in the hospital tonight with COVID, including record numbers here in Tennessee.",,
Kristen Welker,"And since the two of you last shared a stage, 16,000 Americans have died from COVID.",,
Kristen Welker,So please be specific.,,
Kristen Welker,How would you lead the country during this next stage of the coronavirus crisis?,,
Kristen Welker,"Two minutes, uninterrupted.",,
Kristen Welker,… during this next stage of the coronavirus crisis.,,
Kristen Welker,Two minutes uninterrupted.,,
Donald Trump,"So as you know, 2.2 million people modeled out, were expected to die.",,
Donald Trump,We closed up the greatest economy in the world in order to fight this horrible disease that came from China.,,
Donald Trump,It’s a worldwide pandemic.,,
Donald Trump,It’s all over the world.,,
Donald Trump,You see the spikes in Europe and many other places right now.,,
Donald Trump,"If you notice, the mortality rate is down 85%.",,
Donald Trump,The excess mortality rate is way down and much lower than almost any other country.,,
Donald Trump,And we’re fighting it and we’re fighting it hard.,,
Donald Trump,There is a spike.,,
Donald Trump,There was a spike in Florida and it’s now gone.,,
Donald Trump,There was a very big spike in Texas.,,
Donald Trump,It’s now gone.,,
Donald Trump,There was a very big spike in Arizona.,,
Donald Trump,It’s now gone.,,
Donald Trump,"And there was some spikes and surges and other places, they will soon be gone.",,
Donald Trump,We have a vaccine that’s coming.,,
Donald Trump,It’s ready.,,
Donald Trump,It’s going to be announced within weeks.,,
Donald Trump,And it’s going to be delivered.,,
Donald Trump,"We have Operation Warp Speed, which is the military is going to distribute the vaccine.",,
Donald Trump,"I can tell you from personal experience, I was in the hospital.",,
Donald Trump,I had it and I got better.,,
Donald Trump,"And I will tell you that I had something that they gave me, a therapeutic, I guess they would call it.",,
Donald Trump,"Some people could say it was a cure, but I was in for a short period of time.",,
Donald Trump,And I got better very fast or I wouldn’t be here tonight.,,
Donald Trump,And now they say I’m immune.,,
Donald Trump,"Whether it’s four months or a lifetime, nobody’s been able to say that, but I’m immune.",,
Donald Trump,More and more people are getting better.,,
Donald Trump,We have a problem that’s a worldwide problem.,,
Donald Trump,"This is a worldwide problem, but I’ve been congratulated by the heads of many countries on what we’ve been able to do.",,
Donald Trump,"If you take a look at what we’ve done in terms of goggles and masks and gowns and everything else, and in particular ventilators we’re now making ventilators all over the world, thousands and thousands a month distributing them all over the world.",,
Donald Trump,It will go away.,,
Donald Trump,"And as I say, we’re rounding the turn.",,
Donald Trump,We’re rounding the corner.,,
Donald Trump,It’s going away.,,
Kristen Welker,Okay.,,
Kristen Welker,Former Vice President Biden to you.,,
Kristen Welker,How would you lead the country out of this crisis?,,
Kristen Welker,You have two minutes uninterrupted.,,
Joe Biden,"220,000 Americans dead.",,
Joe Biden,"You hear nothing else I say tonight, hear this.",,
Joe Biden,Anyone who is responsible for not taking control.,,
Joe Biden,"In fact, not saying I take no responsibility initially.",,
Joe Biden,Anyone is responsible for that many deaths should not remain as president of the United States of America.,,
Joe Biden,We’re in a situation where there are a thousand deaths a day now.,,
Joe Biden,A thousand deaths a day.,,
Joe Biden,"And there are over 70,000 new cases per day.",,
Joe Biden,"Compared to what’s going on in Europe as the New England Medical Journal said, they’re starting from a very low rate.",,
Joe Biden,We’re starting from a very high rate.,,
Joe Biden,"The expectation is we’ll have another 200,000 Americans dead between now and the end of the year.",,
Joe Biden,"If we just wore these masks, the president’s own advisors have told him, we can save a 100,000 lives.",,
Joe Biden,"And we’re in a circumstance where the president thus far and still has no plan, no comprehensive plan.",,
Joe Biden,What I would do is make sure we have everyone encouraged to wear a mask all the time.,,
Joe Biden,"I would make sure we move into the direction of rapid testing, investing in rapid testing.",,
Joe Biden,"I would make sure that we set up national standards as to how to open up schools and open up businesses so they can be safe and give them the wherewithal, the financial resources to be able to do that.",,
Joe Biden,"We’re in a situation now where the New England Medical Journal, one of the serious, most serious journals in the whole world said for the first time ever that the way this president has responded to this crisis has been absolutely tragic.",,
Joe Biden,"And so folks, I will take care of this.",,
Joe Biden,I will end this.,,
Joe Biden,I will make sure we have a plan.,,
Kristen Welker,"President Trump, I’d like to follow up with you and your comments.",,
Kristen Welker,"You talked about taking a therapeutic, I assume you’re referencing Regeneron.",,
Kristen Welker,You also said a vaccine will be coming within weeks.,,
Kristen Welker,Is that a guarantee?,,
