speaker,text,minute_start,minute_end
Savannah Guthrie,It’s nothing but noise.,,
Savannah Guthrie,What?,,
Savannah Guthrie,Okay.,,
Savannah Guthrie,"All right, ladies and gentlemen, not withstanding a little, few technical difficulties, we’re thrilled to have you tonight.",,
Savannah Guthrie,"And we are very honored by the presence of our president, Donald Trump, who is going to walk in right now.",,
Savannah Guthrie,"We are about 30 seconds from air, so it’ll be just in time.",,
Savannah Guthrie,Mr. President.,,
Voice Over,This is an NBC news special presentation of Today with Savannah Guthrie.,,
Savannah Guthrie,"Tonight, Donald Trump in the arena.",,
Savannah Guthrie,His first prime time network appearance since falling ill with Coronavirus.,,
Donald Trump,"I’m feeling great, I don’t know about you.",,
Donald Trump,How is everyone feeling?,,
Savannah Guthrie,"With tonight’s debate canceled, the President faces our questions live and hears from voters about their concerns in the battleground state of Florida.",,
Donald Trump,"It’s great to be back in my home state, Florida, to make my official return to the campaign trail.",,
Savannah Guthrie,"With just 19 days to go, the President makes his case.",,
Donald Trump,My goal is to fight for you and fight for your family.,,
Voice Over,"From NBC News, Decision 2020, President Trump Town Hall.",,
Voice Over,"Live from the Perez Art Museum in Miami, here’s Savannah Guthrie.",,
Savannah Guthrie,"Hi everybody, and good evening.",,
Savannah Guthrie,"It’s good to have you with us, and welcome to Miami and our town hall with President Donald Trump.",,
Savannah Guthrie,"And we want to say right off the top, this is not how things were supposed to go tonight.",,
Savannah Guthrie,This was supposed to be a town hall debate between Donald Trump and Joe Biden.,,
Savannah Guthrie,"But after the President contracted COVID, the debate commission announced it would have to be a virtual debate because of health concerns.",,
Savannah Guthrie,The President then said he would not participate in a virtual debate.,,
Savannah Guthrie,"At that point, Joe Biden scheduled a town hall tonight in Pennsylvania on another network, and now the President is doing the same, his own town hall with the same venue format and time as NBC’s town hall with Joe Biden last week.",,
Savannah Guthrie,"So the two candidates go head to head tonight, though, not face to face, each in a key battleground state.",,
Savannah Guthrie,"And tonight, the President will be taking questions from voters here in Miami, who we should mention are socially distanced and they’re wearing masks.",,
Savannah Guthrie,"And I should say, this audience looks a bit like America, it’s divided.",,
Savannah Guthrie,"Some here voted for the president in 2016 and plan to again, some support Joe Biden, and some say they are truly undecided.",,
Savannah Guthrie,"We’re going to get a mix of questions on a range of topics, and we’re going to get to those questions in a moment.",,
Savannah Guthrie,"But first with all of that ado, welcome, Mr. President, and thank you for being here.",,
Donald Trump,"That was very well stated, I have to say.",,
Donald Trump,Good job.,,
Savannah Guthrie,Thank you.,,
Savannah Guthrie,"We’re glad you’re here, we’re glad you’re well.",,
Savannah Guthrie,We send our best to the First Lady and to Barron.,,
Donald Trump,"Thank you, thank you.",,
Savannah Guthrie,Do you have any remaining symptoms from COVID?,,
Donald Trump,"Nothing whatsoever, I’m great, I feel good.",,
Donald Trump,"I was in North Carolina today and did a big rally with tremendous turnout, and I just feel really good.",,
Donald Trump,"Florida, Pennsylvania, were- They said, “Let’s go to the hospital.” I said, “That’s okay.",,
Donald Trump,"I’m going to respond to what you say.” And we went over to Walter Reed, where you have tremendous professionals.",,
Donald Trump,They gave me Regeneron and Remdeceiver both.,,
Donald Trump,"And all I know is I felt good the following day, I felt really good.",,
Savannah Guthrie,Did the doctors ever tell you that they saw pneumonia on your lung scans?,,
Donald Trump,"No, but they said the lungs are a little bit different, a little bit perhaps infected, and-",,
Savannah Guthrie,Infected with?,,
Donald Trump,I don’t know.,,
Donald Trump,"I mean, I didn’t do too much asking.",,
Donald Trump,I really felt good.,,
Donald Trump,I didn’t have much of a problem with the lungs.,,
Donald Trump,I did have a little bit of a temperature.,,
Donald Trump,"Obviously, I felt there was something missing, and then I tested, I tested positive.",,
